station_id,name,capacity,num_bikes_available,num_docks_available,lat,lon,is_renting,is_returning
7000,Fort York  Blvd / Capreol Ct,47,7,36,43.639832,-79.395954,TRUE,TRUE
7001,Wellesley Station Green P,23,3,17,43.66496416,-79.38355032,TRUE,TRUE
7002,St. George St / Bloor St W,19,3,15,43.667333,-79.399429,TRUE,TRUE
7003,Madison Ave / Bloor St W,15,5,10,43.667158,-79.402761,TRUE,TRUE
7005,King St W / York St,23,20,2,43.6480008,-79.383177,TRUE,TRUE
7006,Bay St / College St (East Side),31,18,10,43.660439,-79.385525,TRUE,TRUE
7007,College St / Huron St,19,5,11,43.658148,-79.398167,TRUE,TRUE
7008,Wellesley St W / Queen's Park Cres,19,12,5,43.663376,-79.392125,TRUE,TRUE
7009,King St E / Jarvis St,25,7,18,43.650325,-79.372287,TRUE,TRUE
7010,King St W / Spadina Ave,19,12,6,43.645323,-79.395003,TRUE,TRUE
7012,Elizabeth St / Edward St (Bus Terminal),15,13,2,43.656026,-79.385327,TRUE,TRUE
7013,Scott St / The Esplanade,0,0,0,43.64659663,-79.37530914,TRUE,TRUE
7014,Sherbourne St / Carlton St (Allan Gardens),16,1,15,43.663102,-79.373181,TRUE,TRUE
7015,King St W / Bay St (West Side),39,7,29,43.64852,-79.380576,TRUE,TRUE
7016,Bay St / Queens Quay W (Ferry Terminal),35,32,3,43.640978,-79.376785,TRUE,TRUE
7017,Widmer St / Adelaide St W - SMART,12,3,7,43.64754763,-79.391552,TRUE,TRUE
7018,Bremner Blvd / Rees St,23,18,4,43.641529,-79.386741,TRUE,TRUE
7019,Temperance St Station,55,13,38,43.650945,-79.379498,TRUE,TRUE
7020,Phoebe St / Spadina Ave,31,12,15,43.650033,-79.396555,TRUE,TRUE
7021,Bay St / Albert St,63,43,18,43.653264,-79.382458,TRUE,TRUE
7022,Simcoe St / Queen St W,39,26,10,43.65049,-79.3873,TRUE,TRUE
7023,College St / Borden St,11,0,10,43.6571,-79.4056,TRUE,TRUE
7024,Dundonald St / Church St,39,5,34,43.66663,-79.38148,TRUE,TRUE
7025,Ted Rogers Way / Bloor St E,23,1,21,43.671293,-79.380471,TRUE,TRUE
7026,Bay St / St. Joseph St,15,0,15,43.665527,-79.387499,TRUE,TRUE
7027,Beverley St / Dundas St W,31,13,14,43.652823,-79.393388,TRUE,TRUE
7028,Gould St / Mutual St,31,7,22,43.6582,-79.3768,TRUE,TRUE
7029,Bay St / Bloor St W (East Side),15,9,4,43.66943,-79.38915,TRUE,TRUE
7030,Bay St / Wellesley St W,51,5,46,43.664088,-79.387095,TRUE,TRUE
